Text
"DORNBIRN In der Schulgasse in Dornbirn hat eine 71,93 Quadratmeter große Wohnung für einen Quadratmeterpreis von 5533,71 Euro den Besitzer gewechselt. Dieser beinhaltet auch einen Pkw-Abstellplatz. Käufer der Wohnung mit 9,86 Quadratmetern Terrasse ist die ValLiLean Beteiligungs- und Immobilienverwaltungs GmbH. Beim Verkäufer handelt es sich um die Karrenblick Projekt GmbH.  Der Kaufpreis liegt bei 398.040 Euro. Unterzeichnet wurde der Kaufvertrag am 18. September. Die Verbücherung datiert mit Oktober 2020."
"FELDKIRCH Im Altenreuteweg in Feldkirch hat eine 100,67 Quadratmeter große Wohnung für einen Quadratmeterpreis von 6168,67 Euro den Besitzer gewechselt. Käufer der Wohnung mit einer 137,49 Quadratmeter großen Terrasse ist eine Privatperson. Beim Verkäufer handelt es sich um die Rüscher und Söhne Bau GmbH & Co KG.  Der Kaufpreis liegt bei 621.000 Euro. Unterzeichnet wurde der Kaufvertrag am 11. August. Die Verbücherung datiert mit September 2020."
"LUDESCH In der Raggalerstraße in Ludesch hat eine 76,9 Quadratmeter große Wohnung für einen Quadratmeterpreis von 5133,94 Euro den Besitzer gewechselt. Käufer der Wohnung mit 28,65 Quadratmetern Balkon sind mehrere Privatpersonen. Beim Verkäufer handelt es sich um die ZimCon Immobilien GmbH.  Der Kaufpreis liegt bei 394.800 Euro. Unterzeichnet wurde der Kaufvertrag am 6. Oktober. Die Verbücherung datiert mit Oktober 2021."
DORNBIRN Im Fohramoos in Dornbirn hat ein Gebäude mit 35 Quadratmeter Baufläche den Besitzer gewechselt. Käufer wie auch Verkäufer der Immobilie mit einer Freihaltefläche-Widmung sind Privatpersonen. Das Grundstück mit einer Freihaltefläche-Widmung hat eine Fläche von 197 Quadratmeter. Unterzeichnet wurde der Kaufvertrag am 7. Juli. Die Verbücherung datiert mit Oktober 2020.
"VANDANS In der Bahnhofstraße 5 in Vandans wurde eine Wohnung mit einer Nutzfläche von 63,25 Quadratmetern um 259.000 Euro verkauft. Käufer der Wohnung mit 13,27 Quadratmetern Balkon und 123,6 Quadratmetern Garten ist eine Privatperson. Beim Verkäufer handelt es sich um die Rhomberg Bau GmbH.  Der Quadratmeterpreis der Wohnung beträgt 4094,86 Euro. Unterzeichnet wurde der Kaufvertrag am 16. November. Die Verbücherung datiert mit Dezember 2020."
"KOBLACH Im Bereich Nollen in Koblach hat ein Grundstück den Besitzer gewechselt. Verkauft wurde der Grund um 665.000 Euro durch eine Privatperson, Käufer ist die W+M Wohnbau GmbH. Das Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 781 Quadratmeter. Der Quadratmeterpreis des Bodens liegt bei 851,47 Euro. Unterzeichnet wurde der Kaufvertrag am 12. Juli. Die Verbücherung datiert mit September 2021."
"LECH Im Strass 42 in Lech wurde eine Wohnung mit einer Nutzfläche von 98,84 Quadratmetern um 2.232.000 Euro verkauft. Käufer der Wohnung mit 30,2 Quadratmetern Balkon ist eine Privatperson. Beim Verkäufer handelt es sich um die Almrausch Immobilien GmbH.  Der Quadratmeterpreis der Wohnung beträgt 18.818,29 Euro. Unterzeichnet wurde der Kaufvertrag am 1. September. Die Verbücherung datiert mit Oktober 2020."
"BLUDESCH In der Walgaustraße 30 in Bludesch hat eine 75,14 Quadratmeter große Wohnung den Besitzer gewechselt. Verkauft wurde das Objekt durch die BWG Vorarlberg GmbH & Co OG um 249.900 Euro, Käufer ist eine Privatperson. Der Quadratmeterpreis der Wohnung liegt bei 3325,79 Euro. Dieser beinhaltet auch einen Pkw-Abstellplatz. Unterzeichnet wurde der Kaufvertrag am 29. November. Die Verbücherung datiert mit Jänner 2022."
"FELDKIRCH Im Bereich Berggasse in Feldkirch hat ein Grundstück den Besitzer gewechselt. Sowohl Verkäufer als auch Käufer sind Privatpersonen. Das Grundstück mit einer Freihaltefläche-Widmung hat eine Fläche von 1827 Quadratmeter. Der Quadratmeterpreis des Bodens liegt bei 142,3 Euro. Unterzeichnet wurde der Kaufvertrag am 12. August. Die Verbücherung datiert mit Oktober 2020."
"DORNBIRN In der Bachgasse 43 in Dornbirn hat eine 54,32 Quadratmeter große Wohnung mit 7,32 Quadratmetern Balkon den Besitzer gewechselt. Verkauft wurde das Objekt durch die ZIMA Wohn Baugesellschaft mbH um 298.338 Euro, Käufer ist eine Privatperson. Der Quadratmeterpreis der Wohnung liegt bei 5492,22 Euro. Dieser beinhaltet auch einen Pkw-Abstellplatz. Unterzeichnet wurde der Kaufvertrag am 10. November. Die Verbücherung datiert mit Dezember 2021."
"HOHENEMS In der Radetzkystraße in Hohenems hat eine 66,92 Quadratmeter große Wohnung für einen Quadratmeterpreis von 4373,87 Euro den Besitzer gewechselt. Käufer der Wohnung mit 19,23 Quadratmetern Balkon ist eine Privatperson. Beim Verkäufer handelt es sich um die Gartenland Wohnbau GmbH.  Der Kaufpreis liegt bei 292.700 Euro. Unterzeichnet wurde der Kaufvertrag am 19. August. Die Verbücherung datiert mit Dezember 2020."
"SCHRUNS Im Johann Wiederin Weg in Schruns hat eine 104,38 Quadratmeter große Wohnung mit 27,41 Quadratmetern Terrasse den Besitzer gewechselt. Verkauft wurde das Objekt durch die Primus Immobilien GmbH um 474.000 Euro, Käufer ist eine Privatperson. Der Quadratmeterpreis der Wohnung liegt bei 4541,09 Euro. Unterzeichnet wurde der Kaufvertrag am 3. September. Die Verbücherung datiert mit Dezember 2020."
"HOHENEMS In der Gilmstraße 9 in Hohenems hat eine 78,86 Quadratmeter große Wohnung mit 17,73 Quadratmeter Balkon den Besitzer gewechselt. Sowohl Verkäufer als auch Käufer sind Privatpersonen. Der Quadratmeterpreis der Wohnung liegt bei 4945,47 Euro. Dieser beinhaltet auch einen Pkw-Abstellplatz. Unterzeichnet wurde der Kaufvertrag am 2. September. Die Verbücherung datiert mit Oktober 2020."
"BREGENZ Im In der Holzbündt 9 in Bregenz hat eine 52,43 Quadratmeter große Wohnung (Baujahr 1973) für einen Quadratmeterpreis von 4176,99 Euro den Besitzer gewechselt. Bei Käufer und Verkäufer der Wohnung mit 2 Quadratmetern Balkon handelt es sich um Privatpersonen. Der Kaufpreis liegt bei 219.000 Euro. Unterzeichnet wurde der Kaufvertrag am 9. April. Die Verbücherung datiert mit Mai 2021."
"LAUTERACH In der Quellengasse 19 in Lauterach hat eine 90,88 Quadratmeter große Wohnung mit 188,6 Quadratmeter Garten und 24,63 Quadratmeter Terrasse den Besitzer gewechselt. Verkauft wurde das Objekt durch die Greif & Sohm Immobilien und Projektbau GmbH um 524.000 Euro, Käufer ist eine Privatperson. Der Quadratmeterpreis der Wohnung liegt bei 5765,85 Euro. Unterzeichnet wurde der Kaufvertrag am 2. September. Die Verbücherung datiert mit September 2020."
DORNBIRN Im Oberer Kirchweg in Dornbirn hat ein Einfamilienhaus mit 104 Quadratmeter Baufläche den Besitzer gewechselt. Käufer wie auch Verkäufer des Wohnhauses sind Privatpersonen. Das Grundstück mit einer Baufläche-Wohngebiet-Widmung hat eine Fläche von 422 Quadratmeter. Unterzeichnet wurde der Kaufvertrag am 3. Februar. Die Verbücherung datiert mit April 2021.
"DORNBIRN In der Kirchgasse 7 in Dornbirn hat eine 46,5 Quadratmeter große Wohnung (Baujahr 1976) für einen Quadratmeterpreis von 6064,51 Euro den Besitzer gewechselt. Käufer der Wohnung mit 6 Quadratmetern Balkon ist eine Privatperson. Beim Verkäufer handelt es sich um die Hagen Liegenschaftsverwaltung GmbH.  Der Kaufpreis liegt bei 282.000 Euro. Unterzeichnet wurde der Kaufvertrag am 7. Juli. Die Verbücherung datiert mit Juli 2021."
